Country/Economy,Level,Policy type,Key policy measures and targets,Year announced,Category,Source
Norway,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Norway specifically aims for all new LDVs to be ZEVs, and that all new city buses are ZEV or biogas by 2025, as well as 75% of new heavy vans and long-distance buses, and 50% of new lorries being ZEV by 2030.",2022,"LDV, M/HDV",Zero Emissions Government Fleet Declaration
Norway,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,2022,LDV,Accelerating to Zero Coalition
Panama,National,Announced target,"Transition of selected public entity vehicles and transport solutions to EV: 10% by 2025, 25% by 2027, 40% by 2030.",2022,"Bus, Multiple",Government of Panama
Panama,National,Announced target,"Transition of public transport to EV: 10% by 2025, 20% by 2027, and 33% by 2030.",2022,Bus,Government of Panama
Papua New Guinea,National,Announced target,15% share of EVs in all new vehicle sales by 2030.,2022,Multiple,Government of Papua New Guinea
Papua New Guinea,National,Announced target,"Range of subsidies for a limited number of charger installations, commercial vehicles and cars.",2022,Multiple,Government of Papua New Guinea
Paraguay,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2022,LDV,Accelerating to Zero Coalition
Philippines,National,Legislation,"Electric Vehicle Industry Development Act (EVIDA) provides fiscal and non-fiscal incentives to support e-mobility including tax exemptions, and also governs the manufacturing, assembly, importation, construction, installation, maintenance, trade and utilisation, research and development and regulation of EVs.",2022,"Manufacturing, Taxation",Government of the Philippines
Poland,National,Legislation,Additional subsidies specifically for the purchase of EVs and chargers by the country's national parks.,2022,Multiple,Government of Poland
India,Subnational,Objective,West Bengal: 1 million EVs in stock across all segments by 2030.,2021,Multiple,Government of India
Indonesia,National,Objective,2 million passenger EV stock and 13 million electric motorcycle stock by 2030.,2021,"LDV, 2/3W",Government of Indonesia
Indonesia,National,Objective,Number of charging stations to reach 32 000 units and battery swap stations to reach 67 000 units by 2030.,2021,EVSE,Government of Indonesia
Ireland,National,Legislation,"Grants up to 60% of the price difference between the diesel equivalent and the BEV, PHEV, or FCEV model available for the purchase of HDVs.",2021,M/HDV,Government of Ireland
Israel,National,Announced target,National Action Plan on Climate Change: Increase stock share of zero-emission urban buses to 50% by 2036 and 100% by 2050.,2021,Bus,Government of Israel
Israel,National,Announced target,"National Action Plan on Climate Change: Target to reduce average emissions from new LDVs by 95% by 2030 relative to 2020, and by 100% in 2050.",2021,LDV,Government of Israel
Japan,National,Objective,Aiming for an advanced introduction of 5 000 electrified M/HDVs in the 2020s.,2021,M/HDV,Government of Japan
Japan,National,Objective,"100% of car sales to be BEV, PHEV, HEV, or FCEV by 2035, 20-30% of LCV sales by 2030, and electrified vehicles and decarbonised fuel vehicles to account for 100% of sales by 2040 (Green Growth Strategy).",2021,LDV,Government of Japan
Korea,National,Announced target,"Install 500 000 electric chargers by 2025 in homes and workplaces, and 17 000 along highways. Install 450 hydrogen chargers by 2025",2021,EVSE,Government of Korea
Korea,National,Announced target,"50% of new sales to be BEV, HEV, PHEV, FCEVs by 2025, and 83% by 2030. 80% of Government operated vehicles to be eco-friendly in 2021, reaching 100% in 2023.",2021,LDV,Government of Korea
Korea,National,Announced target,"3.62 million passenger BEV and 880 000 passenger FCEV stock by 2030 (and 4 million PHEV+HEV), building upon previous target of 1.13 million passenger BEV stock by 2025 (plus 200 000 passenger FCEV).",2021,LDV,Government of Korea
Korea,National,Announced target,"A 2022 manufacturers sales mandate, as a share of annual sales, of 20% for low emission vehicles, and 12% for ZEVs.",2021,Manufacturing,Government of Korea
Laos,National,Announced target,EVs to make up 30% of vehicle stock by 2030.,2021,Multiple,Government of Laos
Lithuania,National,Legislation,Registration tax and VAT exemption for BEVs,2021,"LDV, Taxation",Government of Lithuania
Lithuania,National,Legislation,"Grants towards the purchase of a new private and company BEV, lower amounts for used BEV, as well as higher rates available for PHEVs, with scrappage bonuses available; Grants are extended to charging investments",2021,LDV,Government of Lithuania
Luxembourg,National,Legislation,Grants towards the purchase of a new private BEV; amount of subsidies vary with battery size,2021,LDV,Government of Luxembourg
Luxembourg,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Malaysia,National,Announced target,"Low Carbon Mobility Blueprint includes measures to increase EV adoption, including targets for government and government-led company fleets, incentives for private and commercial EVs, establishment of an e-bus procurement agency, and various manufacturing incentives.",2021,Multiple,Government of Malaysia
Malaysia,National,Announced target,"Low Carbon Mobility Blueprint includes plans to establish a progressively reducing emissions target for new LDVs, exhaust emissions regulations, and other measures to improve vehicle efficiency.",2021,Multiple,Government of Malaysia
Nepal,National,Objective,"25% share of EVs in private passenger vehicle sales (including two-wheelers) by 2025, and 90% by 2030.",2021,LDV,Government of Nepal
Nepal,National,Objective,"20% 4W (i.e. bus and taxi) public passenger vehicle sales, 60% by 2030.",2021,Bus,Government of Nepal
Netherlands,National,Announced target,Zero-emission transport zones to be introduced in 15 cities by 2025.,2021,Multiple,Government of the Netherlands
Netherlands,National,Objective,100% ZEV share of car sales by 2030.,2021,LDV,Government of the Netherlands
Netherlands,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
New Zealand,National,Announced target,100% of sales of urban buses to be ZEVs by 2025 and 100% of stock by 2035.,2021,Bus,Government of New Zealand
New Zealand,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030 and 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Norway,National,Announced target,All new medium-duty and 50% of heavy-duty vehicles to be zero-emission by 2030.,2021,M/HDV,Government of Norway
Norway,National,Announced target,All new LDV sales to be zero-emission by 2025.,2021,LDV,Government of Norway
Norway,National,Announced target,"All new city buses to be zero-emission or biogas by 2025, 75% ZEV inter-city buses by 2030.",2021,Bus,Government of Norway
Norway,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021,M/HDV,CALSTART: Drive to Zero MOU
Pakistan,National,Objective,"Changes to tax codes to promote local manufacturing and export potential of EVs, EV parts, and charging equipment.",2021,"Manufacturing, Taxation",Government of Pakistan
Israel,National,Legislation,"By 2025, all new municipal buses will be electric, with grants in place to help achieve this.",2020,Bus,Government of Israel
Kenya,National,Objective,5% share of electric/hybrid vehicles in total vehicles imported by 2025.,2020,Multiple,Government of Kenya
Latvia,National,Legislation,"Registration tax exemption for private BEVs, up to one registration per person. Private car annual circulation tax exemption for vehicles with less than 50gCO2/km, lowest rate (EUR 10/month) for company cars.",2020,"LDV, Taxation",Government of Latvia
Malaysia,National,Objective,National Automotive Plan 2020 aiming to increase Malaysia's role in producing electrified vehicles.,2020,Manufacturing,Government of Malaysia
Mexico,Subnational,Objective,"Mexico City: Mobility sector emission reduction plan of Mexico city: 30% emission reduction from mobile sources; time-bound partial traffic restrictions, carpooling schemes, LEZ in central city; 10 000 e-bikes and 16 mass bike parking facilities by 2024; 100% electric moto taxis in 2024, incentive scheme; 10% of private cars are EVs or HEVs in 2024.",2020,Multiple,Government of Mexico City
Nigeria,National,Objective,"100% transition to EV by 2060 with interim targets of 1% EV and 2% HEV by 2030, and 60% EV and 20% HEV by 2050.",2020,LDV,Government of Nigeria
North Macedonia,National,Legislation,"On 1 January 2020, North Macedonia introduced a new tax to promote fuel economy for passenger vehicles.",2020,Taxation,Government of North Macedonia
Pakistan,National,Announced target,"30% share of EVs in truck sales by 2030, and 90% by 2040.",2020,M/HDV,Government of Pakistan
Poland,National,Announced target,"Installation of 49 000 slow and 11 000 fast charging points by 2030, with an ambition for as many as 85 000 and 15 000 respectively.",2020,EVSE,Government of Poland
Poland,National,Announced target,"In cities of more than 100 000 people, ZEVs to make up 100% of new public transport purchases by 2025, and 100% of all public transport vehicles by 2030.",2020,Bus,Government of Poland
Poland,National,Announced target,"600 000 EVs and hybrids by 2030, with an ambition of up to 1 million by 2025.",2020,LDV,Government of Poland
Poland,National,Legislation,Registration tax exemption for BEVs and FCEVs; registration tax exemption for PHEVs until 2029.,2020,"LDV, Taxation",Governmental
Poland,National,Legislation,"Grant of 80-90% of eligible costs of the purchase or lease of an electric bus (BEV/FCEV/e-Trolley), and 50% of the infrastructure cost.",2020,"Bus, EVSE",Government of Poland
Indonesia,National,Objective,"Production targets of 10% of 8 million two-wheeler units to be electric in 2020, 20% of 10 million units in 2025, 25% of 12.5 million in 2030 and 30% of 15 million in 2035.",2019,"Manufacturing, 2/3W",Government of Indonesia
Indonesia,National,Objective,"Production targets of 10% of 1.5 million cars to be electric in 2020, 20% out of 2 million units in 2025, 25% out of 3 million in 2030 and 30% out of 4 million in 2035.",2019,"Manufacturing, LDV",Government of Indonesia
Ireland,National,Announced target,"No new diesel buses from 2019, ambition for all urban buses to be low emission by 2035, with 300 and 1 500 electric buses by 2025 and 2030 respectively.",2019,Bus,Government of Ireland
Italy,National,Legislation,Subsidy in the form of tax relief for installing home chargers.,2019,"EVSE, Taxation",Government of Italy
Italy,National,Legislation,85% share of EVs and hybrids in all public LDV by 2030; 30% by 2022 and 50% by 2025 (includes methane and hydrogen in some cases).,2019,LDV,Government of Italy
Italy,National,Legislation,85% share of EVs and hybrids in all public HDV purchases by 2030; 30% by 2022 and 50% by 2025 (includes methane and hydrogen in some cases).,2019,M/HDV,Government of Italy
Italy,National,Objective,6 million passenger electric LDV stock (including 4 million BEVs by 2030).,2019,LDV,Government of Italy
Japan,National,Legislation,Fuel economy standard: 6.52 or 7.63 km/L (JH25) by 2025 (depending on vehicle class and weight) for heavy commercial vehicles. Target to reduce fuel consumption by 13.4-14.3% compared to 2015 standard.,2019,M/HDV,Government of Japan
Japan,National,Legislation,"Fuel economy standard: 25.4 km/L for passenger LDVs by 2030, equivalent to a 32.4% improvement compared to 2016 and includes EVs. Well-to-wheel approach adopted that includes grid electricity energy consumption for EVs.",2019,LDV,Government of Japan
Korea,National,Announced target,8.3 million electric and 2.9 million FCEV vehicle stock by 2040.,2019,Multiple,Government of Korea
Korea,Subnational,Announced target,Seoul: Subsidise electric motorcycles with the aim of reaching 100 000 by 2025.,2019,2/3W,Government of Seoul
Kyrgyzstan,National,Legislation,EVs are exempt from import duties and annual registration tax.,2019,Taxation,Government of Kyrgyzstan
Luxembourg,National,Legislation,"Up to EUR 2 000 towards the installation of an eligible charger (EUR 1 200 for a family home, EUR 1 650 for multi-residence complex).",2019,Multiple,Government of Luxembourg
Mexico,National,Legislation,"Mexico sets a tax varying largely on the price of the vehicle and an annual vehicle tax, EV owners are exempt from both.",2019,Taxation,Government of Mexico
Netherlands,National,Announced target,100% of public urban bus sales to be ZEV by 2025 and 100% ZEV stock by 2030.,2019,Bus,Netherlands Enterprise Agency
Netherlands,National,Objective,3 000 heavy-duty FCEV by 2025.,2019,M/HDV,Government of the Netherlands
Netherlands,National,Objective,"15 000 FCEV passenger car stock by 2025, 300 000 by 2030; 100% ZEV share of taxi sales by 2025 in large cities, extended to the whole country by 2030.",2019,LDV,Government of the Netherlands
Pakistan,National,Announced target,"50% share of EVs in two/three-wheeler sales by 2030, and 90% by 2040.",2019,2/3W,Government of Pakistan
Pakistan,National,Announced target,"50% share of bus sales to be EV by 2030, and 90% by 2040.",2019,Bus,Government of Pakistan
Pakistan,National,Announced target,"30% share of EVs in LDV sales by 2030, and 90% by 2040.",2019,LDV,Government of Pakistan
Ireland,National,Legislation,"Reduced toll and motor tax for low emissions vehicles, Value Related Tax (VRT) relief, exemption from Benefit-in-Kind taxes, and Accelerated Capital Allowance.",2018,"LDV, Taxation",Government of Ireland
Israel,National,Objective,"Ban on all non-EV or non-CNG vehicles after 2030, leading to 1.4 million EV sales by 2030.",2018,LDV,Government of Israel
Israel,National,Objective,"5% share of private vehicles sold in 2022 to be EVs, 23% by 2025 and 61% by 2028, with 100% to be EVs by 2030.",2018,LDV,Government of Israel
Italy,Subnational,Legislation,"Multiple: EVs and CNG/LPG cars are exempt from annual ownership tax for 5 years from purchase, and receive a 75% discount on this tax relative to petrol cars from purchase onwards, though exact benefits vary by region.",2014,LDV,Automobile Club d'Italia
Luxembourg,National,Legislation,EVs eligible for lowest rate of car tax.,,"LDV, Taxation",Government of Luxembourg
Malta,National,Legislation,Registration and annual circulation tax reduction for low emitting vehicles (<=100 g CO2 /km),2018,"LDV, Taxation",Governmental
Malaysia,National,Announced target,"100% (electrified, CNG, LPG or biofuel-fuelled vehicle) stock for all private transport by 2030.",2017,LDV,Government of Malaysia
Netherlands,National,Legislation,"Registration and motor tax exemptions for ZEVs, and reduced rates for low emission vehicles.",,Taxation,Government of the Netherlands
United States,National,Proposal,"The ELITE Vehicles Act proposes to repeal the tax credits for new clean vehicles, previously-owned clean vehicles, and commercial clean vehicles, as well as excluding EV charging infrastructure from the Alternative Fuel Vehicle Refueling Property Credit.",2025,"LDV, EVSE",Government of the United States
United States,National,Objective,"The Unleashing American Energy Executive Order (14154) directs government agencies to pause the disbursement of funds appropriated through the Inflation Reduction Act of 2022 or the Infrastructure Investment and Jobs Act , including funds for electric vehicle charging stations made available through the National Electric Vehicle Infrastructure Formula Program and the Charging and Fueling Infrastructure Discretionary Grant Program. It also directs agencies to review their processes, policies, and programmes for issuing grants, loans, contracts, or any other financial disbursements of such appropriated funds for consistency with the law and the policy outlined in the Executive Order.",2025,EVSE,The White House
United States,National,Objective,Memorandum from the Secretary of Transport directing the National Highway Traffic Safety Administration to commence a review and reconsideration of all existing fuel economy standards from model year 2022 onwards.,2025,LDV,US Department of Transportation
United States,National,Objective,The Unleashing American Energy Executive Order (14154) directs a reconsideration of subsidies and other government-imposed market distortions that favour EVs over other technologies.,2025,"LDV, Taxation",The White House
Republic of Kosovo,,Objective,"The Multi-Modal Transport Strategy 2030 aims for a 20% adoption rate—not solely among newly registered vehicles, but across all registered vehicles.",2024,LDV,Government of Kosovo
Saudi Arabia,National,Legislation,The Saudi CAFE standard sets fuel economy targets for light-duty vehicles up to 2028. The ranges are as follows: 2024: 15.7-21.0 km/L; 2025: 16.0-21.4 km/L; 2026: 16.9-22.6 km/L; 2027: 17.7-23.7 km/L; 2028: 18.5-24.8 km/L.,2024,LDV,Government of Saudi Arabia
Serbia,National,Proposal,"Serbia plans to have a total of 164 EV chargers installed along its motorways by April 2025, with one at every 6.2 kilometres by April 2025.",2024,EVSE,Government of Serbia
Serbia,Multi-national,Proposal,"MoU between European Union and Serbia on sustainable raw materials, batteries and EVs.",2024,Manufacturing,"European Commission on Strategic Partnerships on Raw Materials, Government of Serbia"
Serbia,National,Legislation,"Maximum subsidy: EUR 5 000 per vehicle; Eligible vehicles: Passenger cars with up to nine seats or a maximum cargo capacity of 3.5 tonnes. Mopeds, motorcycles, tricycles and quadricycles are also eligible for subsidies ranging from EUR 250 to EUR 500, depending on the model.",2024,"Taxation, Multiple",Government of Serbia
Singapore,National,Legislation,Vehicular Emission Scheme (VES): registration tax rebates based on a vehicles' CO2 emissions plus emissions of four other local pollutants.,2024,"LDV, Taxation",Government of Singapore
Singapore,National,Legislation,Electric Vehicle Early Adoption Incentive (EEAI) scheme: registration tax rebates for electric vehicle owners.,2024,"LDV, Taxation",Government of Singapore
South Africa,National,Legislation,Specific investment incentives for the production of electric and hydrogen-powered vehicles under the Automotive Production Development Programme. It is proposed that an investment allowance be made available for new investments from 1 March 2026. Producers will be able to claim 150% of qualifying investment spending on production capacity for electric and hydrogen-powered vehicles in the first year of investment.,2024,"Manufacturing, Taxation",Government of South Africa
Sweden,National,Legislation,"Subsidy scheme for electric light commercial vehicles (SEK 50 000 gradually declining until phase-out at the end of 2025), as well as support for small- and medium-sized companies to invest in emission-free heavy trucks (covering up to 25% of the cost).",2024,"LDV, M/HDV",Government of Sweden
Switzerland,National,Legislation,Previous import exemption for EV cars from 4% import duty removed.,2024,Taxation,Government of Switzerland
Thailand,National,Legislation,"Reduction in excise taxes paid by HEV manufacturers investing at least THB 3 billion (Thai baht) between 2024 and 2027. The HEV production support measure will reduce the excise tax rate to a fixed level for the 2028 to 2032 period, replacing the earlier planed rate that had been set to rise 2% every 2 years. To qualify for the reduced tax rates, the HEV manufacturers will need to comply with strict carbon dioxide (CO2) emission requirements.",2024,Taxation,Government of Thailand
Thailand,National,Legislation,Business tax incentives to promote Thai and foreign joint venture investments in producing automotive parts.,2024,Manufacturing,Government of Thailand
Tonga,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030 and 100% by 2040.",2024,M/HDV,CALSTART: Drive to Zero MOU
Türkiye,National,Legislation,An additional 40% tariff on EVs imported from China; set at a minimum of USD 7 000 per vehicle.,2024,"Taxation, Manufacturing",Government of Turkiye
United Kingdom,National,Legislation,"ZEV mandate: 80% of new cars and 70% of new vans sold in Great Britain will be zero emission by 2030, increasing to 100% by 2035.",2024,LDV,Government of the United Kingdom
United States,National,Legislation,"Phase 3 GHG emissions standards for HDVs from model year 2027 through 2032, requiring emissions reductions in 2032 ranging from 25% (sleeper cab) to 60% (light-heavy vocational vehicles) depending on vehicle segment compared to previous Phase 2 standards for model year 2032.",2024,M/HDV,"United States, Environmental Protection Agency"
United States,National,Legislation,"CO2 standards for model years 2027 onwards, with projected reductions in CO2 emissions of 50% for LDVs and 40% for MDVs in 2032 compared to 2027.",2024,"LDV, M/HDV",Government of the United States
Viet Nam,National,Objective,Special consumption tax policy for electric cars.,2024,Taxation,Government of Vietnam
Viet Nam,National,Objective,The government is looking at offering subsidies on electricity price for EV charging stations.,2024,EVSE,Government of Vietnam
China,Subnational,Announced target,Shanghai: Aims for carbon from urban transportation to peak by 2030 (Plan for Carbon Peaking in the Transport Sector).,2023,Bus,Shanghai Municipal Government
China,Subnational,Announced target,Shanxi: Proportion of new energy- and clean energy-powered transport to reach around 40% by 2030 (Plan for Carbon Peaking).,2023,LDV,Shanxi Provincial Government
China,Subnational,Announced target,"Hunan: By 2025, construct over 400 000 charging piles, aiming to reach a car-charging pile ratio of 2:1.",2023,EVSE,Hunan Provincial Government
China,National,Announced target,"Pilot project to electrify public sector vehicles - 80% of new buses, taxis, sanitation vehicles, postal and urban logistics vehicles to be NEVs by 2025 with a number of charging piles equal to the amount of new NEVs installed.",2023,Multiple,"China, Ministry of Industry and Information Technology"
China,National,Announced target,"By 2025, in major ports in areas including Beijing-Tianjin-Hebei region, Yangtze River basin and the Greater Bay, reach 80% of connected waterway, railway, conveyor belt and NEVs in the transport of bulk cargos.",2023,M/HDV,"China, Ministry of Transport"
China,National,Announced target,NEV sales to account for 45% of new vehicle sales by 2027.,2023,Multiple,China State Council
China,National,Announced target,"By 2025, establish a preliminary interactive network between vehicles and the grids and fully implement peak and valley (peak/off-peak) pricing mechanism for EV charging. In the 5 pilot cities, by 2025, aim to have 60% of annual EV charging electricity concentrated during valley price time, and 80% of private EV charging pile utilisation concentrated during valley price time. By 2030, fully establish the interactive network between vehicles and the grids, aiming to provide flexibility for the electricity system at 10 GW level.",2023,EVSE,China's National Development and Reform Commission
China,National,Announced target,"By 2025, no less than 80% NEVs in new buses, taxes, municipal logistical vehicles, and municipal LCVs in key air pollution control regions; by 2025, no less than 80% coverage of fast chargers in highway service stations in key air pollution control regions, and no less than 60% in other regions. Encourage local government to provide support to charging infrastructure for NEV buses. Promote zero emission freight in the industry sector and logistical hubs.",2023,Multiple,China State Council
China,National,Legislation,"Updated Parallel Management Regulation for Corporate Average Fuel Consumption and NEV Credits: the required NEV proportion for 2024 and 2025 is set at 28% and 38%, respectively.",2023,LDV,"China, Ministry of Industry and Information Technology"
China,National,Legislation,"NEV exemption from vehicle purchase tax extended to the end of 2025, and a reduction of NEV vehicle purchase tax by 50% between 2026 - 2027.",2023,Taxation,"China, Ministry of Finance, State Taxation Administration, Ministry of Industry and Information Technology"
Iceland,National,Legislation,Additional funding will be provided to the Energy Fund in 2024.,2023,Multiple,Government of Iceland
Iceland,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2023,M/HDV,CALSTART: Drive to Zero MOU
India,Subnational,Announced target,Tamil Nādu: 750 charging stations to be incentivised under the State EV policy.,2023,EVSE,"Government of Tamil Nadu, India"
India,Subnational,Announced target,Tamil Nādu: 30% of bus stock to be electric by 2030.,2023,Bus,"Government of Tamil Nadu, India"
India,National,Legislation,Funding for charging infrastructure.,2023,EVSE,"India, Department of Heavy Industries"
Qatar,National,Objective,Plans to convert 35% of car fleet and 100% of public buses to electric by 2030.,2023,"Bus, LDV",Government of Qatar
Saint Lucia,National,Legislation,Reduced import duties for hybrid and electric vehicles.,2023,Taxation,Government of Saint Lucia
Saudi Arabia,National,Objective,"The Public Investment Fund (PIF) has a goal to produce 500 000 EVs annually by 2030, up from a target of 150 000 in 2026.",2023,Manufacturing,Saudi Arabia Public Investment Fund
Slovak Republic,National,Legislation,Registration tax and road tax benefits for BEVs and PHEVs,2023,"LDV, Taxation",Governmental
Slovak Republic,National,Legislation,"Slovak Republic automotive EV action plan includes financial measures to support EVs and EVSE and legislative measures in the areas of taxation and infrastructure, among other measures.",2023,"Multiple, Manufacturing",Government of Slovak Republic
Slovak Republic,National,Legislation,"Grants available for BEVs and PHEVs. In addition to cars, light-commercial vehicles/vans up to 3.5 tonnes also qualify. The subsidy programme operates on a first-come, first-served basis, with both EVs and PHEVs covered by the same subsidy pool; the application process occurs when and where the vehicles are purchased; there are no vehicle price restrictions.",2023,LDV,Government of Slovak Republic
Solomon Islands,National,Announced target,Targets for the installation of both slow and fast chargers between 2022 and 2035.,2023,EVSE,Government of the Solomon Islands
Spain,National,Legislation,"Support for investments for clean technology manufacturing, including for batteries, under the European State Aid Temporary Crisis and Transition Framework.",2023,Manufacturing,Government of Spain
Switzerland,National,Proposal,"Legislative revision including support for recharging stations, an extension of tax exemptions for electric and hydrogen trucks until 2030, vehicle-to-grid incentives, and the possible adoption of the EU LDV CO2 emission standards, expected to come into force in 2025.",2023,Multiple,Swiss Federal Government
Thailand,National,Legislation,"EV3.5 subsidy scheme providing incentives for EVs, with lower rates than previous schemes and a greater focus on local production.",2023,Multiple,Government of Thailand
United Arab Emirates,National,Objective,Increase EV charging stations to 10 000 in 2030 and 30 000 by 2050.,2023,EVSE,Government of Dubai
United Arab Emirates,National,Announced target,Increase the share of EVs to 50% of the total fleet by 2050.,2023,Multiple,Government of Dubai
United Kingdom,National,Proposal,"Regulations to improve the customer experience, in particular with regards to payments and reliability.",2023,EVSE,Government of the United Kingdom
United Kingdom,National,Legislation,"As part of the Advanced Manufacturing Plan, the Government announced USD 2.4 billion of new capital and R&D funding to 2030, boosting the United Kingdom's competitiveness and unlocking strategic investments in the UK automotive industry.",2023,Manufacturing,Government of the United Kingdom
United States,National,Legislation,The Commercial Clean Vehicle Tax Credit offers up to USD 7 500 for vehicles less than 14 000 pounds and up to USD 40 000 for vehicles 14 000 pounds or heavier for the purchase of qualified clean commercial vehicles.,2023,M/HDV,Government of the United States
United States,National,Legislation,Alternative Fuel Vehicle Refueling Property Credit offers tax credits up to 30% (up to USD 1 000 for residences or up to USD 100 000 for business) for the installation of alternative fuelling equipment in low-income communities or non-urban areas.,2023,EVSE,Government of the United States
United States,National,Legislation,"Corporate Average Fuel Economy standards for model years 2024-26, that require an industry-wide fleet average of approximately 49 mpg for passenger cars and light trucks in model year 2026, by increasing fuel efficiency by 8% annually for model years 2024 and 2025, and 10% annually for model year 2026.",2023,LDV,Government of the United States
United States,Subnational,Legislation,Oregon: Grants and incentives towards the purchase or lease of new BEVs and PHEVs.,2023,LDV,Oregon Department of Environmental Quality
Canada,National,Legislation,Contribution of up to 50% of the project cost (75% for indigenous businesses and communities) when installing charging infrastructure (Zero Emission Vehicle Infrastructure Program supported by Canada's Infrastructure Bank),2022,EVSE,Government of Canada
China,Subnational,Announced target,Hunan: Proportion of transport not powered by fossil energy to reach around 40% by 2030 (Plan for Carbon Peaking).,2022,Multiple,Hunan Provincial Government
China,Subnational,Announced target,Jiangsu: NEV sales to account for more than 20% of total new car sales by 2025 (Plan for Carbon Peaking).,2022,LDV,Jiangsu Provincial Government
China,Subnational,Announced target,"Jilin: Production capacity of NEVs to reach around 1 million by 2025, accounting for 20% of all cars.",2022,Manufacturing,Jilin Provincial Government
China,Subnational,Announced target,"Ningxia: NEV sales to account for around 20% of total new car sales by 2025, new energy and clean energy-powered vehicle sales to reach around 40% by 2030 (Plan for Carbon Peaking).",2022,LDV,Ningxia Hui Autonomous Region Government
China,Subnational,Announced target,Shanghai: BEVs to make up more than 50% of new personal vehicle purchases by 2025 and more than 40% of car stock by 2035 (Plan for Carbon Peaking).,2022,LDV,Shanghai Municipal Government
China,Subnational,Announced target,Shanghai: Implementation Plan for Energy Saving and Emissions Reduction Integrated Tasks for the 14th Five Year Plan Period in Shanghai: BEVs to make up more than 50% of new personal vehicle purchases by 2025.,2022,LDV,Shanghai Municipal Government
China,Subnational,Announced target,Shenzhen: Proportion of NEVs among newly registered vehicles (excluding replacement and renewal) in Shenzhen to reach 60% by 2025. The number of NEVs will reach about 1 million.,2022,Multiple,Shenzhen Municipal Government
China,Subnational,Announced target,Shenzhen: Construct a total of about 43 000 fast charging piles in the public and private networks and about 790 000 slow charging piles in the basic network by 2025.,2022,EVSE,Shenzhen Municipal Government
China,Subnational,Announced target,Sichuan: Proportion of new energy- and clean energy-powered transport (not including motorcycles) to reach around 40% by 2030 (Plan for Carbon Peaking).,2022,"LDV, M/HDV",Sichuan Provincial Government
China,Subnational,Announced target,Tianjin: NEV sales to account for around 25% of total new car sales by 2025 and around 50% of total new car sales by 2030 (Plan for Carbon Peaking).,2022,LDV,Tianjin Municipal People's Government
China,Subnational,Announced target,"Tianjin: 80% of public transport, taxis, logistics and delivery vehicle sales to be NEVs by 2025.",2022,Multiple,Tianjin Municipal People's Government
China,Subnational,Legislation,"Hunan: Subsidies provided per kW of charging installed, with greater amounts for those installed along highways; varies between regions of the province.",2022,EVSE,Hunan Provincial Government
China,Subnational,Legislation,"Shanghai: Subsidies for charging point and battery swapping installations with varying rates for community or commercial projects, as well as subsidised charging for taxis.",2022,EVSE,Shanghai Municipal Government
China,Subnational,Objective,Anhui: Aims for road transport oil consumption to peak before 2030 (Plan for Carbon Peaking for the Industry Sector).,2022,Multiple,Anhui Provincial Government
China,Subnational,Objective,Chongqing: Sell and produce more than 10% of the country's intelligent NEVs by 2025.,2022,Manufacturing,Chongqing Municipal People's Government
China,Subnational,Objective,Shandong: Aims for road transport oil consumption to peak before 2030 (Plan for Carbon Peaking).,2022,Multiple,Shandong Provincial Government
China,National,Objective,"Installation of charging infrastructure for more than 20 million EVs by 2025, includes subsidised public stations, and encourages regional governments to establish standards and subsidies that promote quality of service.",2022,EVSE,China National Development and Reform Commission
China,National,Objective,"Proportion of new energy and clean energy-powered transport to reach around 40% by 2030, and CO2 emissions intensity of new passenger cars and commercial vehicles to fall by more than 25% and 20% respectively compared to 2020 (Plan for Carbon Peaking in the Industry Sector).",2022,Multiple,"China, Ministry of Industry and Information Technology, National Development and Reform Commission, Ministry of Ecology and Environment"
